NumDynamicObstacles,Algorithm,MonteCarloIndex,ScenarioSeed,Success,Collision,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,EstEnergyWh,Steps
5,C-NMPC,55,34081,1,0,100,2622.01636793893,3146.9339,63.6094453179089,4.34703646148734,2.74297280848254,111.834850244374,10.6634087474611,0.216048571186031,131
5,C-NMPC,56,34082,1,0,100,2621.82889772727,3363.3962,79.2047464516104,4.14667310283461,2.3804834752987,115.139619902894,10.7473167791167,0.217763980888224,132
5,C-NMPC,57,34083,1,0,100,2620.87907185185,2788.5424,44.1955139257818,4.67725789704728,2.7506280050826,118.510758208218,12.6075421215364,0.230278804886661,135
5,C-NMPC,58,34084,1,0,100,2641.45923712121,3093.5898,82.4730676581847,4.3052977976454,2.33564500330245,115.481945645976,10.8865458640884,0.21842198685247,132
5,C-NMPC,59,34085,1,0,100,2622.39087686567,2765.0175,49.5198696246931,2.99153331772833,1.32931276554803,117.699338741349,10.6801287243452,0.22000699933036,134
5,C-NMPC,60,34086,1,0,100,2615.85004122137,2750.8027,46.2454739864859,4.4628714669987,2.55479780322625,114.10736719027,10.7821629152914,0.216653823175185,131
5,C-NMPC,61,34087,1,0,100,2621.15318951049,2761.3242,46.4430908870468,3.14000745957786,1.32308460422549,128.7,13.5996068168656,0.245139591844501,143
5,C-NMPC,62,34088,1,0,100,2616.68880610687,2755.942,45.5816031926828,3.90275387644309,2.02772448755803,115.508982739618,10.5067326671171,0.215398317456635,131
5,C-NMPC,63,34089,1,0,100,2610.28028676471,2780.645,41.2453033553565,4.57199397457959,2.62228042389994,118.752002207999,12.6458896705871,0.231713303700714,136
5,C-NMPC,64,34090,1,0,100,2618.13204632353,2791.5992,46.1422963206707,3.32442913476921,1.44189388460669,120.882770029087,11.9053744209614,0.228301390002058,136
5,C-NMPC,65,34091,1,0,100,2612.16100681818,2708.8988,39.1711845223676,3.38544784109416,1.57861559066059,116.412066378551,10.7916657392579,0.217999430476089,132
5,C-NMPC,66,34092,1,0,100,2620.51771895425,3126.303,72.7965381980379,3.51597070444151,1.69528467872267,129.697420156515,12.1434903229147,0.250859612543697,153
5,C-NMPC,67,34093,1,0,100,2618.10147142857,2824.3252,51.6730376957783,3.59762897774927,1.97702757719901,115.116795951775,11.4054999567391,0.222088129390489,133
5,C-NMPC,68,34094,1,0,100,2618.56339852941,2775.5131,46.3506202696041,3.13809842911888,1.45160466119249,120.762777363511,12.7971858921487,0.232464757085211,136
5,C-NMPC,69,34095,1,0,100,2616.47171240876,2850.9095,48.1863309349688,2.43460107895034,0.59438527912155,121.273396995618,13.0884692278915,0.235086813485116,137
5,C-NMPC,70,34096,1,0,100,2615.71537307692,3050.7256,58.8663507590821,3.36980592671056,1.73008146201387,113.534328047121,9.02728408031322,0.207193297842891,130
5,C-NMPC,71,34097,1,0,100,2623.31542105263,2782.0431,51.0448478111903,2.9999374149557,1.33329060599754,117.540892647532,11.1465615903823,0.220932386123112,133
5,C-NMPC,72,34098,1,0,100,2618.40989172932,2845.6879,53.2634999863586,3.69997596050863,2.08800770667664,115.617931571957,11.2612365946268,0.221425349746022,133
5,C-NMPC,73,34099,1,0,100,2615.50315298507,2826.2502,46.3393929303869,4.4231366502638,2.8021014913622,115.767343023482,10.7623226374294,0.220348029086164,134
5,C-NMPC,74,34100,1,0,100,2632.45484087591,3451.8895,95.0519943617274,4.2025277438757,2.4358735023579,120.939399380141,12.6187959672001,0.232885346226654,137
5,C-NMPC,75,34101,1,0,100,2611.53308181818,2755.4182,45.394640238676,3.22968138554664,1.45061573462379,122.867637385088,13.6018906926821,0.245020652749134,143
5,C-NMPC,76,34102,0,1,98.6111111111111,2581.59466388889,2731.4226,312.417243436714,2.97191424228743,1.33952416681759,63.9,5.29012513368421,0.116132441695925,72
5,C-NMPC,77,34103,1,0,100,2617.81575,3116.4568,72.4491133605597,3.38936233377086,1.80440166088117,115.50292384416,11.685159158837,0.222153117997263,132
5,C-NMPC,78,34104,1,0,100,2609.01777672956,2785.5744,48.0805378483841,3.39462074935006,1.69338896081676,136.412166746114,13.8896219433517,0.266665758275761,159
5,C-NMPC,79,34105,1,0,100,2613.25202781955,2843.5386,55.24202617885,3.25741560375159,1.42533502501177,117.305818545983,10.0316345465278,0.215718860206468,133
5,C-NMPC,80,34106,1,0,100,2612.93984580153,3015.0979,61.3618892637006,3.40992768360766,1.79282008736389,113.513546366741,10.9261081562633,0.217313057068281,131
5,C-NMPC,81,34107,1,0,100,2610.47751791045,2780.7811,44.2935901603501,3.24884176744748,1.23522458668009,116.895341656687,9.85191369043343,0.216120185355777,134
5,C-NMPC,82,34108,1,0,100,2623.50428248175,2899.8862,55.1337019005709,4.07602079785993,2.13054596631079,120.756146406855,12.989929437219,0.234614997434018,137
5,C-NMPC,83,34109,1,0,100,2614.63822205882,2751.5307,46.3900599839691,3.45320035194538,1.70128192216292,120.502275723926,12.736340153734,0.232174731639007,136
