ExperimentType,R_on,R_off,T_ref,RepeatIndex,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,Success,Collision,SwitchCount,Steps
T_ref,0.6,0.2,1,2,77.2058823529412,1924.41320882353,2606.9786,1049.84478255354,4.24124629353224,2.26958441394727,1,0,2,136
T_ref,0.6,0.2,1,3,77.4436090225564,1929.00966015038,2627.3262,1045.44449570956,3.91520431282247,2.15084024519652,1,0,2,133
T_ref,0.6,0.2,1,4,77.2727272727273,1928.77846515151,2618.3632,1050.52793718309,4.47393217987218,2.85754315213909,1,0,2,132
T_ref,0.6,0.2,1,5,79.8611111111111,1994.56744791667,2599.7253,1005.58184514302,3.58560128032173,1.7870160233996,1,0,1,144
T_ref,0.6,0.2,1,6,77.7070063694268,1938.10365031847,2656.4461,1042.08343135294,3.101238342997,1.44033822275291,1,0,2,157
T_ref,0.6,0.2,1,7,77.8625954198473,1939.50699618321,2642.8066,1038.76669171207,4.06877839120992,2.14178378569294,1,0,2,131
T_ref,0.6,0.2,1,8,77.6119402985075,1935.23131343284,2647.0486,1043.90039008295,4.59341547611296,2.66635852267869,1,0,2,134
T_ref,0.6,0.2,1,9,76.1194029850746,1896.09367313433,2629.49,1066.55045584781,3.91343759197309,2.03757104831867,1,0,2,134
T_ref,0.6,0.2,1,10,80.8823529411765,2017.86264338235,2627.1284,985.234802306638,3.33325509248674,1.55279826143865,1,0,2,136
T_ref,0.6,0.2,1,11,77.037037037037,1922.15031111111,2628.3825,1053.85004059067,3.67448573048361,1.82216548667313,1,0,2,135
T_ref,0.6,0.2,1,12,77.0992366412214,1918.39150992366,2583.2001,1049.87172570909,4.16420903956812,2.33317605176037,1,0,1,131
T_ref,0.6,0.2,1,13,71.6049382716049,1795.75901975309,2640.3279,1134.94258458399,3.17002915063801,1.54414164475083,1,0,2,162
T_ref,0.6,0.2,1,14,77.8625954198473,1946.66718396947,2812.3624,1043.03104279077,3.73081348792946,2.10948737724403,1,0,2,131
T_ref,0.6,0.2,1,15,77.1428571428572,1933.57102428571,2638.5328,1056.95950581233,2.71750429269263,0.796698049321874,1,0,2,140
T_ref,0.6,0.2,1,16,79.5918367346939,1991.9493829932,2637.4346,1012.75034897089,3.6991106687488,1.6803749297524,1,0,2,147
T_ref,0.6,0.2,1,17,77.4647887323944,1941.62398521127,2668.1318,1051.57359665755,3.4235539301118,1.66066091809206,1,0,2,142
T_ref,0.6,0.2,1,18,77.0992366412214,1922.74480381679,2632.4069,1052.41118135906,5.37659344180743,3.70944480953905,1,0,2,131
T_ref,0.6,0.2,1,19,77.2727272727273,1930.12361439394,2624.1889,1051.23550543394,5.06524698686323,3.12149739840952,1,0,1,132
T_ref,0.6,0.2,1,20,76.6917293233083,1914.84237669173,2674.5397,1060.29799623186,3.77907738330738,2.03678207169479,1,0,2,133
T_ref,0.6,0.2,1,21,79.1044776119403,1977.62963880597,2662.4125,1020.83864011037,3.91242261919368,1.95900294501753,1,0,2,134
T_ref,0.6,0.2,1,22,64.7727272727273,1635.86942727273,2728.2458,1214.09656485436,3.82915084176783,2.01446391918263,0,1,1,88
T_ref,0.6,0.2,1,23,77.037037037037,1921.7772037037,2638.2192,1053.66166456033,4.29441439952999,2.40384884870629,1,0,2,135
T_ref,0.6,0.2,1,24,75.7575757575758,1891.38486136364,2628.6193,1074.62247924401,3.24318062833686,1.65920439575845,1,0,2,132
T_ref,0.6,0.2,1,25,77.037037037037,1911.39624814815,2592.6282,1047.89710254585,4.67298639974552,2.94853675510203,1,0,2,135
T_ref,0.6,0.2,5,1,76.5151515151515,1903.83560833333,2604.6378,1059.20865419643,4.46158923286094,2.68177555974932,1,0,2,132
T_ref,0.6,0.2,5,2,78.3783783783784,1965.96753918919,2672.7079,1037.12091590463,3.56970855102063,1.83825504850016,1,0,2,148
T_ref,0.6,0.2,5,3,77.0992366412214,1925.0984610687,2614.6641,1053.7614550271,3.37173792609049,1.5324010772135,1,0,2,131
T_ref,0.6,0.2,5,4,76.1194029850746,1908.92972537313,3184.0367,1075.95346922898,3.19636185658077,1.32680532744115,1,0,2,134
T_ref,0.6,0.2,5,5,76.6917293233083,1907.94396842105,2648.5931,1056.30613699271,4.36853242750028,2.49168087301572,1,0,2,133
T_ref,0.6,0.2,5,6,77.3722627737226,1932.18602262774,2652.7635,1049.24514722947,4.70112227605598,2.78558639989458,1,0,2,137
T_ref,0.6,0.2,5,7,80.7142857142857,2013.5057,2620.1183,988.361859721345,4.13574842156201,2.2003307270496,1,0,2,140
T_ref,0.6,0.2,5,8,78.7671232876712,1973.02559589041,2699.7392,1028.97214205906,3.2220371597765,1.6314981944026,1,0,2,146
T_ref,0.6,0.2,5,9,77.3049645390071,2048.87394326241,2904.6626,1117.09637332462,2.93206020864077,1.28747129744121,1,0,2,141
