Algorithm,RepeatIndex,ScenarioSeed,NumDynamicObstacles,NumStaticBuildings,Success,Collision,MetricValid,FailureReason,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,PathLengthMeter,EstimatedEnergyJ,EstimatedEnergyWh,Steps
Proposed ET-NMPC,11,2037,5,15,1,0,1,Success,78.1021897810219,2164.71358394161,3006.0193,1151.28553631996,4.12360090930712,2.10764725510339,109.451979736752,12.8543376118052,61.2808773704795,2955.12049941309,0.820866805392526,137
Proposed ET-NMPC,12,2038,5,15,1,0,1,Success,78.6764705882353,2174.16204926471,2909.2005,1136.54322059256,3.82339212336121,1.97790397335499,108.395467784677,12.6197587727047,61.4538254636865,2930.07629319842,0.813910081444007,136
Proposed ET-NMPC,13,2039,5,15,1,0,1,Success,76.6917293233083,2119.6025037594,2950.6392,1173.60332511519,3.55872066851652,1.55158315940615,106.107431061212,11.4261084920022,59.9964348914764,2846.40798563644,0.790668884899012,133
Proposed ET-NMPC,14,2040,5,15,1,0,1,Success,78.5714285714286,2184.93632,3081.5422,1146.2663769095,3.46977724359601,1.76501043208051,111.632486442906,13.3798243620249,62.5473789818585,3024.52799501038,0.84014666528066,140
Proposed ET-NMPC,15,2041,5,15,1,0,1,Success,79.8507462686567,2215.32161119403,2942.778,1117.45964370687,4.07708813481142,2.2430810805944,106.562369629137,11.3075624708556,59.7331992504916,2862.82585605633,0.795229404460092,134
Proposed ET-NMPC,16,2042,5,15,1,0,1,Success,77.8571428571429,2158.46291785714,2928.1031,1155.90587322459,4.29457386911921,2.3847687332186,109.294038220075,11.5410102113439,59.958300972004,2981.19659824004,0.82811016617779,140
Proposed ET-NMPC,17,2043,5,15,1,0,1,Success,78.1021897810219,2168.93154671533,3041.0069,1153.4076692951,3.1219538782172,1.46120296063515,113.03665839307,12.5484936867129,61.1491195738206,2955.8605805004,0.821072383472333,137
Proposed ET-NMPC,18,2044,5,15,1,0,1,Success,80.1324503311258,2211.01002317881,2915.9956,1105.37020359912,2.52804970684845,0.620484064938986,122.894434691216,14.3958981290281,62.7326451198868,3266.41121362336,0.907336448228711,151
Proposed ET-NMPC,19,2045,5,15,1,0,1,Success,78.2608695652174,2163.17002826087,2911.4828,1145.2045372574,2.94985504535143,1.28767731029449,110.597697853933,11.2928764664126,60.1644511326945,2942.58779171253,0.817385497697924,138
Proposed ET-NMPC,20,2046,5,15,1,0,1,Success,77.2727272727273,2128.82608409091,3016.1398,1159.69973369404,3.35183768583465,1.64068392922517,104.421451075976,10.5824652338658,59.5134396908333,2807.30143917529,0.779805955326469,132
Proposed ET-NMPC,21,2047,5,15,1,0,1,Success,79.4117647058823,2187.89247426471,2901.9244,1118.89286246612,3.05011224583208,1.08690771716299,111.166352303498,10.1043111307849,59.2691901155835,2882.73975930628,0.800761044251745,136
Proposed ET-NMPC,22,2048,5,15,1,0,1,Success,76.1194029850746,2095.47686492537,2984.1803,1178.93898299376,4.66490957230605,2.78517038393452,103.755736134727,10.9076654958242,59.5286175557195,2848.80618337096,0.791335050936377,134
Proposed ET-NMPC,23,2049,5,15,1,0,1,Success,75.7575757575758,2085.95906439394,3045.6465,1185.29537084847,5.01638881865385,3.35967274380103,101.197996238168,11.1814825516691,59.6113436954871,2813.44672925892,0.781512980349701,132
Proposed ET-NMPC,24,2050,5,15,1,0,1,Success,76.1194029850746,2091.52245,2919.5949,1176.33400858096,4.24510304847916,2.36876189550243,104.692028757268,10.8054552074061,59.4383338916253,2848.53016233879,0.791258378427442,134
